agent,skill,avg_runtime,avg_tokens,runs,sum_runtime,sum_tokens
dark-factory:featurework:planning:agents:planning-agent,,31902.666666666668,1155.0,3,95708.0,3465.0
dark-factory:featurework:execution:agents:execution-agent,,78434.0,603.4,5,392170.0,3017.0
dark-factory:code-review:agents:code-review-orchestrator-agent,,152264.46153846153,692.8461538461538,13,1979438.0,9007.0
dark-factory:documentation:agents:update-documentation-agent,,71559.0,290.44444444444446,9,644031.0,2614.0
dark-factory:skill-update:agents:skill-update-agent,,59340.5,322.125,8,474724.0,2577.0
dark-factory:pr:agents:pr-agent,,58958.92857142857,140.07142857142858,14,825425.0,1961.0
dark-factory:repair:agents:repair-agent,,13470.44,158.56,25,336761.0,3964.0
testing-agent,,0.0,0.0,13,0.0,0.0
planning-agent,,0.0,0.0,20,0.0,0.0
dark-factory:featurework:agents:feature-agent,,88144.26086956522,526.4347826086956,23,2027318.0,12108.0
Explore,,68061.0,1786.0,3,204183.0,5358.0
dark-factory:featurework:planning:agents:sub-planning-agent,,0.0,355.0,1,0.0,355.0
dark-factory:documentation:agents:investigation-agent,,113399.0,1081.0,1,113399.0,1081.0
feature-agent,,121858.0,797.5,2,243716.0,1595.0
code-review-orchestrator-agent,,148107.5,446.5,2,296215.0,893.0
update-documentation-agent,,172217.0,525.0,2,344434.0,1050.0
skill-update-agent,,75275.0,308.5,2,150550.0,617.0
pr-agent,,66241.0,113.0,2,132482.0,226.0
dark-factory:debugger:agents:debugger-agent,,0.0,0.0,3,0.0,0.0
dark-factory:featurework:execution:agents:skeleton-agent,,0.0,0.0,1,0.0,0.0
debugger-agent,,418539.0,728.0,1,418539.0,728.0
